Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Logistic Regression Classifier with Imblearn NearMiss,Logistic Regression Classifier with Imblearn NearMiss,"{'C': 1000.0, 'penalty': 'l2'}",0.9380530973451328,0.8979591836734694,0.8461538461538461,0.8979591836734695,0.9013377926421405
Decision Tree Classifier with Imblearn NearMiss,Decision Tree Classifier with Imblearn NearMiss,"{'criterion': 'gini', 'max_depth': 4}",0.48672566371681414,0.5306122448979592,1.0,0.6933333333333334,0.5
Random Forest Classifier with Imblearn NearMiss,Random Forest Classifier with Imblearn NearMiss,"{'criterion': 'gini', 'max_depth': 9, 'n_estimators': 100}",1.0,1.0,1.0,1.0,1.0
