Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Logistic Regression with Adaboost NearMiss,Logistic Regression with Adaboost NearMiss,"{'C': 0.001, 'penalty': 'l2'}",0.8761061946902655,0.8979591836734694,0.8846153846153846,0.9019607843137256,0.8988294314381271
Decision Tree Classifier with Adaboost NearMiss,Decision Tree Classifier with Adaboost NearMiss,{},1.0,1.0,1.0,1.0,1.0
Random Forest Classifier with Adaboost NearMiss,Random Forest Classifier with Adaboost NearMiss,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,1.0,1.0,1.0
