Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Logistic Regression with PCA NearMiss,Logistic Regression with PCA NearMiss,"{'C': 0.01, 'penalty': 'l2'}",0.8761061946902655,0.9183673469387755,0.8461538461538461,0.9166666666666666,0.9230769230769231
Decision Tree Classifier with PCA NearMiss,Decision Tree Classifier with PCA NearMiss,"{'criterion': 'gini', 'max_depth': 2}",0.9734513274336283,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Random Forest Classifier with PCA NearMiss,Random Forest Classifier with PCA NearMiss,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 250}",0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
