Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Hard Voting Classifier With NearMiss PCA,Hard Voting Classifier With NearMiss PCA,,1.0,1.0,1.0,1.0,1.0
Soft Voting Classifier With NearMiss PCA,Soft Voting Classifier With NearMiss PCA,,1.0,0.9591836734693877,0.9615384615384616,0.9615384615384616,0.9590301003344482
